1218,1499,219332,
1215,1492,162061,
1231,1496,67580,
1219,1490,19617,
1220,1492,148030,
1219,1502,10916,
1217,1490,74437,
1232,1496,167242,
1220,1491,210169,
1220,1493,92999,
1218,1505,215768,
1215,1493,163297,
1229,1494,69339,
1218,1492,16221,
1223,1493,148170,
1218,1506,15291,
1216,1492,71927,
1228,1496,165118,
1218,1493,214356,
1221,1493,93630,
1218,1509,212952,
1217,1490,165380,
1227,1495,71991,
1218,1494,12242,
1220,1490,148402,
1218,1512,20020,
1216,1493,70068,
1227,1496,163619,
1217,1493,218079,
1221,1493,93899,
1216,1513,210169,
1214,1492,168484,
1226,1497,75774,
1218,1493,9200,
1222,1491,149390,
1218,1513,26208,
1216,1492,67925,
1226,1496,162052,
1219,1491,222577,
1220,1490,94295,
1217,1514,207421,
1215,1491,171200,
1225,1495,77954,
1216,1493,1534,
1221,1490,150333,
1217,1511,34112,
1215,1492,63044,
1223,1497,159146,
1217,1492,228979,
1219,1490,93156,
1218,1509,200882,
1217,1491,176934,
1222,1494,83010,
1216,1492,257537,
1220,1490,149995,
1219,1508,36001,
1215,1492,57442,
1220,1495,156531,
1215,1493,234738,
1221,1489,92977,
1219,1505,197465,
1214,1491,179956,
1222,1496,84923,
1216,1493,252936,
1221,1490,150833,
1220,1503,40243,
1213,1493,53668,
1221,1496,155041,
1216,1494,239810,
1219,1491,91873,
1220,1501,193346,
1216,1491,183532,
1221,1495,87300,
1217,1492,249877,
1218,1489,152031,
1221,1501,44394,
1217,1492,49769,
1220,1495,153778,
1214,1493,245303,
1218,1488,90080,
1225,1502,188607,
1214,1492,186976,
1219,1494,89136,
1215,1493,246254,
1217,1489,152787,
1225,1501,47273,
1214,1491,46937,
1219,1493,152895,
1216,1492,248350,
1216,1490,88522,
1229,1498,185513,
1216,1490,189352,
1221,1495,90245,
1216,1493,243783,
1218,1489,154910,
1234,1499,52632,
1215,1493,43078,
1220,1495,151891,
1217,1492,252936,
1216,1491,87362,
1235,1502,182813,
1214,1493,192719,
1219,1496,91722,
1217,1493,240753,
1215,1491,157877,
1239,1498,59216,
1216,1491,40403,
1221,1496,151763,
1218,1494,259264,
1217,1490,86820,
1237,1500,180818,
1216,1494,199248,
1220,1498,94797,
1218,1495,237738,
1215,1491,161865,
1237,1498,66226,
1214,1492,31953,
1220,1495,149909,
1218,1496,3071,
1215,1490,81388,
1236,1498,174036,
1216,1494,203536,
1220,1495,94658,
1217,1496,229555,
1215,1492,162652,
1231,1498,68114,
1215,1493,26585,
1220,1496,148972,
1217,1497,6523,
1216,1492,78853,
1231,1498,171321,
1216,1496,207421,
1219,1496,94423,
1217,1500,222939,
1217,1492,163179,
1230,1497,69332,
1216,1493,23221,
1219,1496,148895,
1217,1503,10733,
1215,1491,77103,
1229,1496,169461,
1216,1491,211556,
1220,1496,95245,
1217,1506,220049,
1216,1495,164351,
1227,1499,70951,
1217,1495,19838,
1223,1495,149108,
1217,1510,15688,
1215,1493,75466,
1226,1496,167751,
1218,1495,214356,
1221,1495,94782,
1219,1515,215768,
1217,1493,166047,
1225,1499,73284,
1216,1494,16820,
1219,1493,149697,
1217,1515,21176,
1216,1492,73025,
1226,1497,165652,
1217,1495,218615,
1220,1495,95304,
1218,1517,212952,
1216,1493,168597,
1226,1497,76324,
1215,1494,13405,
1217,1494,150631,
1217,1515,27546,
1215,1494,70800,
1226,1497,163989,
1215,1493,224394,
1219,1491,96174,
1217,1516,210169,
1213,1493,172882,
1223,1498,80841,
1216,1494,9206,
1220,1493,151874,
1216,1511,34571,
1213,1493,69222,
1223,1497,163151,
1218,1491,232314,
1219,1494,98057,
1219,1510,208790,
1214,1494,177296,
1222,1498,83985,
1216,1494,382,
1220,1492,151300,
